-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/02/2022 through 04/01/2022 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                    MERRA-2 Earth Skin Temperature (C) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M                 MERRA-2 Wind Direction at 50 Meters (Degrees) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_UVA        CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB        CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,WS50M,WD50M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB
47.25,5.75,2022,1,2,6.35,5.03,5.69,5.59,8.37,205.07,1.3,-999.0,291.17,-999.0,-999.0
47.25,6.25,2022,1,2,6.41,4.46,5.44,5.34,8.94,210.22,0.74,-999.0,295.28,-999.0,-999.0
47.25,6.75,2022,1,2,6.13,3.72,4.93,4.77,8.44,219.97,0.74,-999.0,295.28,-999.0,-999.0
47.25,7.25,2022,1,2,6.2,3.12,4.66,4.2,7.48,221.96,0.74,-999.0,295.28,-999.0,-999.0
47.25,7.75,2022,1,2,6.16,2.35,4.26,3.4,6.4,222.51,0.74,-999.0,295.28,-999.0,-999.0
47.25,8.25,2022,1,2,5.6,1.26,3.43,2.27,5.55,224.04,1.01,-999.0,285.76,-999.0,-999.0
47.25,8.75,2022,1,2,4.18,-0.18,2.0,0.83,5.25,225.09,1.01,-999.0,285.76,-999.0,-999.0
47.25,9.25,2022,1,2,3.85,-1.69,1.08,-0.44,4.54,217.59,1.01,-999.0,285.76,-999.0,-999.0
47.25,9.75,2022,1,2,2.92,-3.54,-0.31,-2.03,4.42,219.11,1.01,-999.0,285.76,-999.0,-999.0
47.25,10.25,2022,1,2,1.88,-4.81,-1.47,-3.33,4.43,225.12,1.38,-999.0,272.77,-999.0,-999.0
47.25,10.75,2022,1,2,0.96,-5.18,-2.11,-4.03,4.23,230.49,1.38,-999.0,272.77,-999.0,-999.0
47.25,11.25,2022,1,2,0.17,-4.85,-2.35,-4.16,3.69,229.47,1.38,-999.0,272.77,-999.0,-999.0
47.25,11.75,2022,1,2,0.49,-4.64,-2.08,-4.31,3.48,229.57,1.38,-999.0,272.77,-999.0,-999.0
47.25,12.25,2022,1,2,0.8,-4.68,-1.94,-4.35,3.23,234.64,1.34,-999.0,266.0,-999.0,-999.0
47.25,12.75,2022,1,2,1.1,-5.09,-1.99,-4.58,3.0,241.49,1.34,-999.0,266.0,-999.0,-999.0
47.25,13.25,2022,1,2,1.24,-5.43,-2.09,-4.77,2.97,248.81,1.34,-999.0,266.0,-999.0,-999.0
47.25,13.75,2022,1,2,0.85,-4.67,-1.91,-4.15,3.47,257.16,1.34,-999.0,266.0,-999.0,-999.0
47.25,14.25,2022,1,2,1.4,-2.64,-0.62,-2.1,3.84,263.13,1.3,-999.0,265.28,-999.0,-999.0
47.25,14.75,2022,1,2,2.31,-0.92,0.69,-0.28,3.98,268.69,1.3,-999.0,265.28,-999.0,-999.0
47.25,15.25,2022,1,2,3.47,0.55,2.01,1.24,4.09,270.44,1.3,-999.0,265.28,-999.0,-999.0
47.75,5.75,2022,1,2,6.09,5.24,5.67,5.6,8.15,212.72,1.3,-999.0,291.17,-999.0,-999.0
47.75,6.25,2022,1,2,5.99,4.76,5.38,5.33,8.16,211.88,0.74,-999.0,295.28,-999.0,-999.0
47.75,6.75,2022,1,2,6.06,4.43,5.24,5.38,8.13,223.55,0.74,-999.0,295.28,-999.0,-999.0
